feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,0.098288,0.661780,-0.406068,0.447307,-0.073173,0.337161,0.256352,0.123414,-0.251280,-0.649148
f2,0.098288,1.000000,-0.131030,0.423154,0.327908,0.234466,0.253320,0.144289,0.385626,0.655209,0.113030
f3,0.661780,-0.131030,1.000000,-0.535185,0.286659,-0.489230,-0.270520,-0.317693,-0.511173,-0.099613,-0.368568
f4,-0.406068,0.423154,-0.535185,1.000000,-0.114150,0.183932,0.055603,0.035068,0.250512,0.307458,0.308670
f5,0.447307,0.327908,0.286659,-0.114150,1.000000,0.647626,0.560452,0.534365,0.428118,-0.163073,-0.195483
f6,-0.073173,0.234466,-0.489230,0.183932,0.647626,1.000000,0.712449,0.770210,0.742408,-0.182029,0.086081
f7,0.337161,0.253320,-0.270520,0.055603,0.560452,0.712449,1.000000,0.933426,0.915835,-0.408852,-0.306423
f8,0.256352,0.144289,-0.317693,0.035068,0.534365,0.770210,0.933426,1.000000,0.858754,-0.415833,-0.321945
f9,0.123414,0.385626,-0.511173,0.250512,0.428118,0.742408,0.915835,0.858754,1.000000,-0.170111,-0.138423
f10,-0.251280,0.655209,-0.099613,0.307458,-0.163073,-0.182029,-0.408852,-0.415833,-0.170111,1.000000,0.412655
lifetime_week,-0.649148,0.113030,-0.368568,0.308670,-0.195483,0.086081,-0.306423,-0.321945,-0.138423,0.412655,1.000000
