feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,0.081147,0.620116,-0.384672,0.499451,0.068846,0.344950,0.361734,0.199984,0.000837,-0.570291
f2,0.081147,1.000000,-0.172884,0.138744,-0.013274,0.030278,0.589145,0.090812,0.588721,0.845126,-0.060381
f3,0.620116,-0.172884,1.000000,-0.504561,0.394106,-0.368895,-0.285198,-0.267197,-0.428319,-0.211303,-0.485431
f4,-0.384672,0.138744,-0.504561,1.000000,-0.117173,0.163819,-0.007272,-0.003754,0.147531,0.115213,0.366482
f5,0.499451,-0.013274,0.394106,-0.117173,1.000000,0.651826,0.354257,0.496707,0.341906,-0.272062,-0.402151
f6,0.068846,0.030278,-0.368895,0.163819,0.651826,1.000000,0.584706,0.796821,0.677480,-0.194729,-0.092995
f7,0.344950,0.589145,-0.285198,-0.007272,0.354257,0.584706,1.000000,0.788102,0.910513,0.422466,-0.315370
f8,0.361734,0.090812,-0.267197,-0.003754,0.496707,0.796821,0.788102,1.000000,0.772745,-0.089801,-0.354591
f9,0.199984,0.588721,-0.428319,0.147531,0.341906,0.677480,0.910513,0.772745,1.000000,0.304864,-0.178257
f10,0.000837,0.845126,-0.211303,0.115213,-0.272062,-0.194729,0.422466,-0.089801,0.304864,1.000000,0.091399
lifetime_week,-0.570291,-0.060381,-0.485431,0.366482,-0.402151,-0.092995,-0.315370,-0.354591,-0.178257,0.091399,1.000000
