combo_size,features,relevance_mean_abs_pearson,redundancy_mean_abs_pearson,redundancy_max_abs_pearson,score,selector,mrmr_last_added,mrmr_score
1,f1_w10,0.839715414057182,0.0,0.0,0.839715414057182,relevance_minus_redundancy,,
1,f7_w10,0.7154588397702256,0.0,0.0,0.7154588397702256,relevance_minus_redundancy,,
1,f5_w10,0.7087886181921202,0.0,0.0,0.7087886181921202,relevance_minus_redundancy,,
1,f3_w10,0.7011751179277971,0.0,0.0,0.7011751179277971,relevance_minus_redundancy,,
1,f8_w10,0.613494272731181,0.0,0.0,0.613494272731181,relevance_minus_redundancy,,
2,"f3_w10,f9_w10",0.5955345048130866,0.11640708053758644,0.11640708053758644,0.5373309645442933,relevance_minus_redundancy,,
2,"f1_w10,f6_w10",0.5257803525197153,0.025414389753826712,0.025414389753826712,0.5130731576428019,relevance_minus_redundancy,,
1,f9_w10,0.48989389169837605,0.0,0.0,0.48989389169837605,relevance_minus_redundancy,,
2,"f1_w10,f10_w10",0.5234637334357092,0.11014774725554446,0.11014774725554446,0.46838985980793696,relevance_minus_redundancy,,
2,"f3_w10,f8_w10",0.657334695329489,0.38452581700845295,0.38452581700845295,0.4650717868252625,relevance_minus_redundancy,,
2,"f1_w10,f5_w10",0.7742520161246511,0.6665474830829722,0.6665474830829722,0.440978274583165,relevance_minus_redundancy,,
2,"f7_w10,f3_w10",0.7083169788490113,0.5398163224155659,0.5398163224155659,0.4384088176412284,relevance_minus_redundancy,,
3,"f1_w10,f3_w10,f9_w10",0.6769281412277851,0.4868761408634308,0.7906585327514274,0.4334900707960697,relevance_minus_redundancy,,
2,"f7_w10,f10_w10",0.46133544629223106,0.05858688944060242,0.05858688944060242,0.43204200157192985,relevance_minus_redundancy,,
3,"f5_w10,f3_w10,f9_w10",0.6332858759394311,0.4109534516821796,0.651642574178619,0.4278091500983413,relevance_minus_redundancy,,
3,"f1_w10,f3_w10,f6_w10",0.5842452743224092,0.320713809095385,0.7906585327514274,0.4238883697747168,relevance_minus_redundancy,,
3,"f7_w10,f3_w10,f10_w10",0.5412820035040864,0.23563585823942276,0.5398163224155659,0.423464074384375,relevance_minus_redundancy,,
3,"f1_w10,f5_w10,f10_w10",0.5852386950211795,0.3270077281346672,0.6665474830829722,0.4217348309538459,relevance_minus_redundancy,,
3,"f3_w10,f9_w10,f10_w10",0.4660936874801365,0.10098182463899448,0.11640708053758644,0.41560277516063926,relevance_minus_redundancy,,
3,"f1_w10,f7_w10,f10_w10",0.5874621022138814,0.34500854849061274,0.8662910087756914,0.41495782796857505,relevance_minus_redundancy,,
4,"f1_w10,f5_w10,f3_w10,f9_w10",0.6848932604688688,0.5406048633637028,0.7906585327514274,0.41459082878701736,relevance_minus_redundancy,,
3,"f1_w10,f3_w10,f10_w10",0.5827008615997386,0.3364368809563572,0.7906585327514274,0.41448242112156,relevance_minus_redundancy,,
4,"f1_w10,f3_w10,f9_w10,f10_w10",0.5594991191243979,0.29288576053753895,0.7906585327514274,0.41305623885562837,relevance_minus_redundancy,,
4,"f1_w10,f7_w10,f3_w10,f10_w10",0.6158903561423602,0.41233414391682194,0.8662910087756914,0.4097232841839492,relevance_minus_redundancy,,
3,"f5_w10,f3_w10,f8_w10",0.6744860029503661,0.5316501786174426,0.651642574178619,0.4086609136416448,relevance_minus_redundancy,,
2,"f1_w10,f2_w10",0.4440044757443159,0.07481575912383638,0.07481575912383638,0.4065965961823977,relevance_minus_redundancy,,
4,"f1_w10,f7_w10,f5_w10,f10_w10",0.617793731208441,0.423045007705479,0.8662910087756914,0.40627122735570154,relevance_minus_redundancy,,
3,"f1_w10,f5_w10,f2_w10",0.5322658565602507,0.25454302099979054,0.6665474830829722,0.40499434606035545,relevance_minus_redundancy,,
3,"f7_w10,f5_w10,f3_w10",0.708474191963381,0.6079426200689211,0.651642574178619,0.4045028819289205,relevance_minus_redundancy,,
3,"f3_w10,f8_w10,f10_w10",0.5072938144910715,0.20744405166248892,0.38452581700845295,0.403571788659827,relevance_minus_redundancy,,
4,"f1_w10,f5_w10,f3_w10,f10_w10",0.6142228007478339,0.42197144236602463,0.7906585327514274,0.4032370795648216,relevance_minus_redundancy,,
