feature,f1_w7,f2_w7,f3_w7,f4_w7,f5_w7,f6_w7,f7_w7,f8_w7,f9_w7,f10_w7,lifetime_week
f1_w7,1.000000,-0.246077,0.795485,-0.015056,0.690119,0.048610,0.703482,0.632941,0.363801,-0.144748,-0.857044
f2_w7,-0.246077,1.000000,-0.416791,0.021223,-0.281707,0.019523,0.044836,0.000355,0.257709,0.269376,0.293411
f3_w7,0.795485,-0.416791,1.000000,0.060391,0.651643,-0.146069,0.350708,0.256119,-0.050790,-0.108504,-0.717712
f4_w7,-0.015056,0.021223,0.060391,1.000000,0.048694,0.043004,0.108338,0.094035,0.014013,0.040740,0.084691
f5_w7,0.690119,-0.281707,0.651643,0.048694,1.000000,0.624468,0.606467,0.574441,0.389028,-0.204328,-0.724910
f6_w7,0.048610,0.019523,-0.146069,0.043004,0.624468,1.000000,0.447376,0.483764,0.535223,-0.206297,-0.213324
f7_w7,0.703482,0.044836,0.350708,0.108338,0.606467,0.447376,1.000000,0.887167,0.766956,-0.071932,-0.601566
f8_w7,0.632941,0.000355,0.256119,0.094035,0.574441,0.483764,0.887167,1.000000,0.717854,-0.257653,-0.560058
f9_w7,0.363801,0.257709,-0.050790,0.014013,0.389028,0.535223,0.766956,0.717854,1.000000,-0.051512,-0.336750
f10_w7,-0.144748,0.269376,-0.108504,0.040740,-0.204328,-0.206297,-0.071932,-0.257653,-0.051512,1.000000,0.247643
lifetime_week,-0.857044,0.293411,-0.717712,0.084691,-0.724910,-0.213324,-0.601566,-0.560058,-0.336750,0.247643,1.000000
