feature,f1_w5,f2_w5,f3_w5,f4_w5,f5_w5,f6_w5,f7_w5,f8_w5,f9_w5,f10_w5,lifetime_week
f1_w5,1.000000,-0.193443,0.762357,-0.134037,0.742006,0.156417,0.543026,0.503984,0.233779,-0.101975,-0.847682
f2_w5,-0.193443,1.000000,-0.348099,0.064073,-0.182576,0.072073,0.143410,-0.158408,0.228241,0.491715,0.312154
f3_w5,0.762357,-0.348099,1.000000,-0.027069,0.651643,-0.146069,0.157150,0.168724,-0.157545,-0.108504,-0.717712
f4_w5,-0.134037,0.064073,-0.027069,1.000000,0.076077,0.138767,0.050206,0.084510,0.067987,0.108152,0.220809
f5_w5,0.742006,-0.182576,0.651643,0.076077,1.000000,0.624468,0.618134,0.603096,0.346707,-0.204328,-0.724910
f6_w5,0.156417,0.072073,-0.146069,0.138767,0.624468,1.000000,0.658269,0.626786,0.595209,-0.206297,-0.213324
f7_w5,0.543026,0.143410,0.157150,0.050206,0.618134,0.658269,1.000000,0.869556,0.767766,0.015886,-0.447458
f8_w5,0.503984,-0.158408,0.168724,0.084510,0.603096,0.626786,0.869556,1.000000,0.666818,-0.259594,-0.437521
f9_w5,0.233779,0.228241,-0.157545,0.067987,0.346707,0.595209,0.767766,0.666818,1.000000,0.034268,-0.173838
f10_w5,-0.101975,0.491715,-0.108504,0.108152,-0.204328,-0.206297,0.015886,-0.259594,0.034268,1.000000,0.247643
lifetime_week,-0.847682,0.312154,-0.717712,0.220809,-0.724910,-0.213324,-0.447458,-0.437521,-0.173838,0.247643,1.000000
