feature,f1_w8,f2_w8,f3_w8,f4_w8,f5_w8,f6_w8,f7_w8,f8_w8,f9_w8,f10_w8,lifetime_week
f1_w8,1.000000,-0.183181,0.795897,0.072215,0.676544,0.031575,0.779774,0.689042,0.409821,-0.138027,-0.863177
f2_w8,-0.183181,1.000000,-0.353102,0.147860,-0.227800,0.017555,0.041494,-0.010988,0.237133,0.211134,0.249429
f3_w8,0.795897,-0.353102,1.000000,-0.006038,0.651643,-0.146069,0.437915,0.303805,0.003684,-0.108504,-0.717712
f4_w8,0.072215,0.147860,-0.006038,1.000000,0.136094,0.177945,0.254505,0.317696,0.258726,-0.021109,-0.024223
f5_w8,0.676544,-0.227800,0.651643,0.136094,1.000000,0.624468,0.617189,0.568955,0.370128,-0.204328,-0.724910
f6_w8,0.031575,0.017555,-0.146069,0.177945,0.624468,1.000000,0.367372,0.416167,0.459798,-0.206297,-0.213324
f7_w8,0.779774,0.041494,0.437915,0.254505,0.617189,0.367372,1.000000,0.891004,0.721166,-0.078295,-0.681939
f8_w8,0.689042,-0.010988,0.303805,0.317696,0.568955,0.416167,0.891004,1.000000,0.674729,-0.214580,-0.605336
f9_w8,0.409821,0.237133,0.003684,0.258726,0.370128,0.459798,0.721166,0.674729,1.000000,-0.040824,-0.393703
f10_w8,-0.138027,0.211134,-0.108504,-0.021109,-0.204328,-0.206297,-0.078295,-0.214580,-0.040824,1.000000,0.247643
lifetime_week,-0.863177,0.249429,-0.717712,-0.024223,-0.724910,-0.213324,-0.681939,-0.605336,-0.393703,0.247643,1.000000
