feature,f1_w10,f2_w10,f3_w10,f4_w10,f5_w10,f6_w10,f7_w10,f8_w10,f9_w10,f10_w10,lifetime_week
f1_w10,1.000000,0.074816,0.790659,0.077984,0.666547,0.025414,0.866291,0.737657,0.553563,-0.110148,-0.878681
f2_w10,0.074816,1.000000,-0.064455,0.198711,-0.022266,0.013060,0.233228,0.092897,0.356844,0.066005,0.016635
f3_w10,0.790659,-0.064455,1.000000,-0.024797,0.651643,-0.146069,0.539816,0.384526,0.116407,-0.108504,-0.717712
f4_w10,0.077984,0.198711,-0.024797,1.000000,0.101865,0.202830,0.305097,0.329019,0.286033,-0.020559,-0.022109
f5_w10,0.666547,-0.022266,0.651643,0.101865,1.000000,0.624468,0.632369,0.558782,0.464811,-0.204328,-0.724910
f6_w10,0.025414,0.013060,-0.146069,0.202830,0.624468,1.000000,0.269037,0.320624,0.438125,-0.206297,-0.213324
f7_w10,0.866291,0.233228,0.539816,0.305097,0.632369,0.269037,1.000000,0.893140,0.783590,-0.058587,-0.773518
f8_w10,0.737657,0.092897,0.384526,0.329019,0.558782,0.320624,0.893140,1.000000,0.734867,-0.129302,-0.664325
f9_w10,0.553563,0.356844,0.116407,0.286033,0.464811,0.438125,0.783590,0.734867,1.000000,-0.078034,-0.523835
f10_w10,-0.110148,0.066005,-0.108504,-0.020559,-0.204328,-0.206297,-0.058587,-0.129302,-0.078034,1.000000,0.247643
lifetime_week,-0.878681,0.016635,-0.717712,-0.022109,-0.724910,-0.213324,-0.773518,-0.664325,-0.523835,0.247643,1.000000
