combo_size,features,relevance_mean_abs_pearson,redundancy_mean_abs_pearson,redundancy_max_abs_pearson,score,selector,mrmr_last_added,mrmr_score
1,f1_w8,0.8301090310624292,0.0,0.0,0.8301090310624292,relevance_minus_redundancy,,
1,f5_w8,0.7087886181921202,0.0,0.0,0.7087886181921202,relevance_minus_redundancy,,
1,f3_w8,0.7011751179277971,0.0,0.0,0.7011751179277971,relevance_minus_redundancy,,
1,f7_w8,0.6316364436332155,0.0,0.0,0.6316364436332155,relevance_minus_redundancy,,
1,f8_w8,0.5593937863440833,0.0,0.0,0.5593937863440833,relevance_minus_redundancy,,
2,"f3_w8,f9_w8",0.5329933545413467,0.003683824362243844,0.003683824362243844,0.5311514423602247,relevance_minus_redundancy,,
2,"f1_w8,f6_w8",0.5209771610223389,0.03157539708609764,0.03157539708609764,0.5051894624792901,relevance_minus_redundancy,,
2,"f3_w8,f8_w8",0.6302844521359402,0.3038053382021693,0.3038053382021693,0.47838178303485557,relevance_minus_redundancy,,
2,"f1_w8,f10_w8",0.5186605419383328,0.138026753813706,0.138026753813706,0.4496471650314798,relevance_minus_redundancy,,
2,"f1_w8,f2_w8",0.539099740913352,0.18318097342918033,0.18318097342918033,0.44750925419876186,relevance_minus_redundancy,,
2,"f3_w8,f7_w8",0.6664057807805063,0.4379151377197497,0.4379151377197497,0.44744821192063144,relevance_minus_redundancy,,
2,"f1_w8,f5_w8",0.7694488246272747,0.6765444111026879,0.6765444111026879,0.43117661907593074,relevance_minus_redundancy,,
3,"f1_w8,f3_w8,f9_w8",0.6320319133817075,0.40313400244178865,0.7958973477203893,0.4304649121608132,relevance_minus_redundancy,,
3,"f5_w8,f3_w8,f9_w8",0.5915917757582712,0.34181818270905223,0.651642574178619,0.420682684403745,relevance_minus_redundancy,,
2,"f7_w8,f2_w8",0.4398634471987452,0.041493794979660596,0.041493794979660596,0.41911654970891493,relevance_minus_redundancy,,
3,"f1_w8,f3_w8,f6_w8",0.5810431466574917,0.3245137498624626,0.7958973477203893,0.4187862717262604,relevance_minus_redundancy,,
3,"f1_w8,f5_w8,f2_w8",0.5956627000062747,0.36250836478737775,0.6765444111026879,0.4144085176125859,relevance_minus_redundancy,,
3,"f1_w8,f5_w8,f10_w8",0.582036567356262,0.33963303966062625,0.6765444111026879,0.4122200475259489,relevance_minus_redundancy,,
3,"f3_w8,f7_w8,f10_w8",0.5133412047917497,0.2082381462012849,0.4379151377197497,0.40922213169110727,relevance_minus_redundancy,,
4,"f1_w8,f5_w8,f3_w8,f9_w8",0.6512210895843107,0.48461952369882777,0.7958973477203893,0.4089113277348968,relevance_minus_redundancy,,
3,"f1_w8,f3_w8,f10_w8",0.5794987339348209,0.34747615479873173,0.7958973477203893,0.405760656535455,relevance_minus_redundancy,,
3,"f1_w8,f7_w8,f2_w8",0.5699453084866398,0.3348161584005263,0.7797737067927382,0.4025372292863767,relevance_minus_redundancy,,
3,"f5_w8,f3_w8,f8_w8",0.6564525074880002,0.5081342909313843,0.651642574178619,0.40238536202230807,relevance_minus_redundancy,,
4,"f1_w8,f3_w8,f9_w8,f10_w8",0.5258269482398397,0.24945952654482503,0.7958973477203893,0.40109718496742713,relevance_minus_redundancy,,
2,"f3_w8,f10_w8",0.4541935853710168,0.10850436286209991,0.10850436286209991,0.3999414039399668,relevance_minus_redundancy,,
3,"f3_w8,f9_w8,f10_w8",0.4243995872989766,0.05100407416404063,0.10850436286209991,0.3988975502169563,relevance_minus_redundancy,,
3,"f1_w8,f3_w8,f8_w8",0.6968926451114364,0.5962483260774735,0.7958973477203893,0.3987684820726997,relevance_minus_redundancy,,
3,"f1_w8,f8_w8,f2_w8",0.5458644227235958,0.2944036995703489,0.689042292309862,0.39866257293842133,relevance_minus_redundancy,,
2,"f8_w8,f2_w8",0.40374211855417913,0.010987832972004345,0.010987832972004345,0.39824820206817696,relevance_minus_redundancy,,
4,"f1_w8,f3_w8,f7_w8,f10_w8",0.5925331613594195,0.389735374488448,0.7958973477203893,0.3976654741151955,relevance_minus_redundancy,,
4,"f1_w8,f5_w8,f3_w8,f10_w8",0.6118212049991457,0.42915723395716454,0.7958973477203893,0.39724258802056345,relevance_minus_redundancy,,
3,"f5_w8,f3_w8,f7_w8",0.6805333932510442,0.5689154207842841,0.651642574178619,0.39607568285890216,relevance_minus_redundancy,,
4,"f1_w8,f5_w8,f7_w8,f2_w8",0.60465613591301,0.42099685776483603,0.7797737067927382,0.39415770703059205,relevance_minus_redundancy,,
4,"f1_w8,f5_w8,f3_w8,f8_w8",0.6998666383816075,0.6143144873211821,0.7958973477203893,0.3927093947210164,relevance_minus_redundancy,,
3,"f1_w8,f5_w8,f3_w8",0.7466909223941155,0.7080281110005654,0.7958973477203893,0.3926768668938328,relevance_minus_redundancy,,
2,"f1_w8,f9_w8",0.5974603111086627,0.40982083524273283,0.40982083524273283,0.3925498934872963,relevance_minus_redundancy,,
5,"f1_w8,f5_w8,f3_w8,f9_w8,f10_w8",0.5624192822302958,0.3399400248202036,0.7958973477203893,0.392449269820194,relevance_minus_redundancy,,
3,"f1_w8,f5_w8,f9_w8",0.6345697468031485,0.48549779864390485,0.6765444111026879,0.39182084748119606,relevance_minus_redundancy,,
3,"f3_w8,f8_w8,f2_w8",0.5028864516787185,0.22263177050651253,0.353102140345364,0.39157056642546223,relevance_minus_redundancy,,
5,"f1_w8,f5_w8,f3_w8,f7_w8,f10_w8",0.6157842527259596,0.4488115736731964,0.7958973477203893,0.3913784658893614,relevance_minus_redundancy,,
