combo_size,features,relevance_mean_abs_pearson,redundancy_mean_abs_pearson,redundancy_max_abs_pearson,score,selector,mrmr_last_added,mrmr_score
1,f1_w5,0.8278019420898332,0.0,0.0,0.8278019420898332,relevance_minus_redundancy,,
1,f5_w5,0.7087886181921202,0.0,0.0,0.7087886181921202,relevance_minus_redundancy,,
1,f3_w5,0.7011751179277971,0.0,0.0,0.7011751179277971,relevance_minus_redundancy,,
2,"f3_w5,f7_w5",0.5634059210736619,0.1571495632318938,0.1571495632318938,0.48483113945771505,relevance_minus_redundancy,,
2,"f3_w5,f8_w5",0.5545701174064235,0.1687240487049453,0.1687240487049453,0.47020809305395084,relevance_minus_redundancy,,
2,"f1_w5,f10_w5",0.5175069974520348,0.10197486760191089,0.10197486760191089,0.4665195636510793,relevance_minus_redundancy,,
2,"f1_w5,f2_w5",0.556759883798488,0.19344295350245827,0.19344295350245827,0.46003840704725885,relevance_minus_redundancy,,
2,"f1_w5,f4_w5",0.5218586657481143,0.13403712741639365,0.13403712741639365,0.45484010203991754,relevance_minus_redundancy,,
2,"f3_w5,f4_w5",0.4585452536670963,0.027068985135452736,0.027068985135452736,0.44501076109936993,relevance_minus_redundancy,,
2,"f1_w5,f6_w5",0.5198236165360409,0.1564170915655615,0.1564170915655615,0.4416150707532602,relevance_minus_redundancy,,
3,"f1_w5,f3_w5,f4_w5",0.5816308164746752,0.3078210526149748,0.762357045293078,0.4277202901671878,relevance_minus_redundancy,,
1,f7_w5,0.4256367242195269,0.0,0.0,0.4256367242195269,relevance_minus_redundancy,,
3,"f1_w5,f5_w5,f4_w5",0.5841686498961163,0.3173733436523416,0.7420058000204852,0.4254819780699455,relevance_minus_redundancy,,
2,"f5_w5,f4_w5",0.4623520037992579,0.07607710352014599,0.07607710352014599,0.4243134520391849,relevance_minus_redundancy,,
3,"f1_w5,f5_w5,f2_w5",0.6074361285963654,0.37267489582551727,0.7420058000204852,0.4210986806836068,relevance_minus_redundancy,,
3,"f1_w5,f3_w5,f10_w5",0.5787297042772889,0.32427875858569627,0.762357045293078,0.4165903249844407,relevance_minus_redundancy,,
3,"f5_w5,f3_w5,f4_w5",0.541959708508771,0.25159622094473927,0.651642574178619,0.4161615980364013,relevance_minus_redundancy,,
4,"f1_w5,f5_w5,f3_w5,f4_w5",0.6134202669040365,0.3988647725940291,0.762357045293078,0.41398788060702196,relevance_minus_redundancy,,
3,"f3_w5,f7_w5,f4_w5",0.44757574385123977,0.07814168215068053,0.1571495632318938,0.4085049027758995,relevance_minus_redundancy,,
1,f8_w5,0.40796511688505,0.0,0.0,0.40796511688505,relevance_minus_redundancy,,
3,"f1_w5,f3_w5,f7_w5",0.6515379280790524,0.4875109054247293,0.762357045293078,0.40778247536668777,relevance_minus_redundancy,,
3,"f1_w5,f5_w5,f10_w5",0.58126753769873,0.34943620722929364,0.7420058000204852,0.40654943408408317,relevance_minus_redundancy,,
3,"f1_w5,f3_w5,f8_w5",0.6456473923008934,0.47835496869042643,0.762357045293078,0.40646990795568017,relevance_minus_redundancy,,
2,"f5_w5,f2_w5",0.4972532218496315,0.18257593395360847,0.18257593395360847,0.40596525487282725,relevance_minus_redundancy,,
