feature,f1_w9,f2_w9,f3_w9,f4_w9,f5_w9,f6_w9,f7_w9,f8_w9,f9_w9,f10_w9,lifetime_week
f1_w9,1.000000,-0.058199,0.794002,-0.013864,0.669370,0.018256,0.827757,0.710528,0.508506,-0.128709,-0.874002
f2_w9,-0.058199,1.000000,-0.207394,0.134619,-0.153062,-0.034653,0.115695,-0.041487,0.280007,0.142434,0.145052
f3_w9,0.794002,-0.207394,1.000000,-0.031722,0.651643,-0.146069,0.496244,0.353787,0.091825,-0.108504,-0.717712
f4_w9,-0.013864,0.134619,-0.031722,1.000000,0.075612,0.152566,0.159796,0.224295,0.156894,0.021062,0.042055
f5_w9,0.669370,-0.153062,0.651643,0.075612,1.000000,0.624468,0.629353,0.552685,0.448710,-0.204328,-0.724910
f6_w9,0.018256,-0.034653,-0.146069,0.152566,0.624468,1.000000,0.311341,0.351371,0.456295,-0.206297,-0.213324
f7_w9,0.827757,0.115695,0.496244,0.159796,0.629353,0.311341,1.000000,0.896577,0.777203,-0.083168,-0.739717
f8_w9,0.710528,-0.041487,0.353787,0.224295,0.552685,0.351371,0.896577,1.000000,0.718317,-0.186171,-0.651707
f9_w9,0.508506,0.280007,0.091825,0.156894,0.448710,0.456295,0.777203,0.718317,1.000000,-0.081237,-0.504858
f10_w9,-0.128709,0.142434,-0.108504,0.021062,-0.204328,-0.206297,-0.083168,-0.186171,-0.081237,1.000000,0.247643
lifetime_week,-0.874002,0.145052,-0.717712,0.042055,-0.724910,-0.213324,-0.739717,-0.651707,-0.504858,0.247643,1.000000
