feature,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lifetime_week
f1,1.000000,0.049056,0.624368,-0.467570,0.463091,-0.004621,0.181727,0.216634,0.008681,-0.032049,-0.578317
f2,0.049056,1.000000,-0.237022,0.102170,-0.030014,0.076607,0.640857,0.146297,0.570748,0.840156,-0.057369
f3,0.624368,-0.237022,1.000000,-0.475424,0.368539,-0.395258,-0.365661,-0.342030,-0.558979,-0.265452,-0.405585
f4,-0.467570,0.102170,-0.475424,1.000000,-0.212848,0.089187,-0.084566,-0.082258,0.052116,0.140437,0.459218
f5,0.463091,-0.030014,0.368539,-0.212848,1.000000,0.653809,0.330059,0.481105,0.281142,-0.300211,-0.435261
f6,-0.004621,0.076607,-0.395258,0.089187,0.653809,1.000000,0.594978,0.803256,0.664169,-0.175035,-0.087706
f7,0.181727,0.640857,-0.365661,-0.084566,0.330059,0.594978,1.000000,0.719878,0.841042,0.423417,-0.290411
f8,0.216634,0.146297,-0.342030,-0.082258,0.481105,0.803256,0.719878,1.000000,0.731850,-0.064582,-0.316720
f9,0.008681,0.570748,-0.558979,0.052116,0.281142,0.664169,0.841042,0.731850,1.000000,0.301687,-0.184501
f10,-0.032049,0.840156,-0.265452,0.140437,-0.300211,-0.175035,0.423417,-0.064582,0.301687,1.000000,0.135710
lifetime_week,-0.578317,-0.057369,-0.405585,0.459218,-0.435261,-0.087706,-0.290411,-0.316720,-0.184501,0.135710,1.000000
